Test,Parameter,Telkomsel,IOH,XL Axiata,longitude,latitude,kab/kota,Alamat,,
Speed Test,DL (Mbps),63.92,94.87,6.82,122.520517,-3.98355,Kendari,The Park Kendari,,
Speed Test,UL (Mbps),17.1,39.67,5.44,122.520517,-3.98355,Kendari,The Park Kendari,,
Speed Test,Ping (ms),1.69,1.11,188,122.520517,-3.98355,Kendari,The Park Kendari,,
Web Test,Loading time (ms),5.4,4.9,479,122.520517,-3.98355,Kendari,The Park Kendari,,
Web Test,Throughput (Mbps),0.9,0.792,0.33,122.520517,-3.98355,Kendari,The Park Kendari,,
Video Test,Initial Buffering (ms),501,503,0,122.520517,-3.98355,Kendari,The Park Kendari,,
Video Test,Throughput (Mbps),2.15,2.15,3.09,122.520517,-3.98355,Kendari,The Park Kendari,,
Speed Test,DL (Mbps),59.33,8.72,9.66,122.518834,-3.96372,Kendari,Mall Mandonga,,
Speed Test,UL (Mbps),52.09,94,6.76,122.518834,-3.96372,Kendari,Mall Mandonga,,
Speed Test,Ping (ms),1.11,1.04,204,122.518834,-3.96372,Kendari,Mall Mandonga,,
Web Test,Loading time (ms),3,2.89,542,122.518834,-3.96372,Kendari,Mall Mandonga,,
Web Test,Throughput (Mbps),0.494,0.608,0.375,122.518834,-3.96372,Kendari,Mall Mandonga,,
Video Test,Initial Buffering (ms),500,614,0,122.518834,-3.96372,Kendari,Mall Mandonga,,
Video Test,Throughput (Mbps),2.15,2.15,2.04,122.518834,-3.96372,Kendari,Mall Mandonga,,
Speed Test,DL (Mbps),25.69,5.83,0.78,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Speed Test,UL (Mbps),31.23,7.19,5.32,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Speed Test,Ping (ms),1.36,140,177,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Web Test,Loading time (ms),1.26,47.78,198,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Web Test,Throughput (Mbps),0.031,0.84,0.435,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Video Test,Initial Buffering (ms),503,0,1,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Video Test,Throughput (Mbps),2.15,2.11,2.12,122.583845,-3.973591,Kendari,Pelabuhan Nusantara,,
Speed Test,DL (Mbps),34.9,6.59,5.31,122.54011,-4.000907,Kendari,Pasar Anduonohu,,
