Bulan,Hari,Tanggal,Test,Parameter,Telkomsel,IOH,XL Axiata,longitude,latitude,Kabupaten/Kota,Alamat,Keterangan
April,Minggu,04/06/25,Speed Test,Ping (ms),114,0,0,122.6226,-4.0998,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Loading time (ms),184,0,803,122.6226,-4.0998,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Throughput W (Mbps),0.492,0,0.311,122.6226,-4.0998,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Initial Buffering (ms),0,0,0,122.6226,-4.0998,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Throughput V (Mbps),1.6,0,1.7,122.6226,-4.0998,Konawe Selatan,UPPKB Moramo ,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,DL (Mbps),13.87,8.63,10.52,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,UL (Mbps),8.4,6.93,5.51,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,Ping (ms),152,169,189,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Loading time (ms),880,210,225,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Throughput W (Mbps),0.679,0.627,0.515,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Initial Buffering (ms),0,0,0,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Throughput V (Mbps),142.7,1.36,2.06,122.6871,-4.1738,Konawe Selatan,Jl. Poros Lapuko - Moramo,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,DL (Mbps),9.46,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,UL (Mbps),0.31,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,Ping (ms),2275,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Loading time (ms),2.91,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Throughput W (Mbps),0.038,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Initial Buffering (ms),0,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Throughput V (Mbps),10.99,0,0,122.7070,-4.3097,Konawe Selatan,Kantor Desa Awunio,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,DL (Mbps),8.04,8.1,2.01,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,UL (Mbps),6.36,6.73,5.9,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Speed Test,Ping (ms),254,160,222,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Loading time (ms),435,451,253,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Web Test,Throughput W (Mbps),0,0.496,0.525,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Initial Buffering (ms),0,0,0,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
April,Minggu,04/06/25,Video Test,Throughput V (Mbps),1.7,1.92,2.06,122.4170,-40769,Konawe Selatan,Bandara Haluoleo,Posko After Idul Fitri
